id,customer_id,order_date,status,subtotal,shipping_cost,total_amount,payment_method,delivery_city
c9db7d20-2f60-4994-9028-1eafa196d316,7ae88512-b564-42d6-bd63-9e71e4482b22,2025-03-30 14:57:28,pending,554.57,5.9,560.47,PayPal,Toulon
5cc8645b-9712-40d3-a3a9-4f3fbb88f425,8cb75032-3403-4a3c-bef1-7270ba2964a8,2026-08-15 14:57:28,pending,194.9,5.9,200.8,Carte bancaire,Dijon
42f0a400-f72d-4e02-b6fd-f88788ab659a,8d4fd95f-8f7c-4561-aadd-f9dfa5aaccec,2026-01-08 14:57:28,refunded,283.35,0.0,283.35,Carte bancaire,Nice
d366eee4-3e64-4a2e-b095-a10062e7b650,5397e6f9-db00-43c0-acc4-7028403ae9f6,2025-01-14 14:57:28,completed,772.15,7.9,780.05,Carte bancaire,Dijon
9eadb7a7-1e2e-4686-8e0b-124cc5a15cab,1f01f874-9675-4407-a020-2417c005632b,2025-08-07 14:57:28,completed,278.42,5.9,284.32,Cheque,Nantes
71fd9c75-861b-405f-a9cd-3f5330bc656f,eb66331b-ef7d-4751-8677-1cf70a286fc7,2026-01-25 14:57:28,completed,668.4,0.0,668.4,Especes,Lyon
6146f246-cf11-44e6-bf75-7602fd3d312e,c3305ee5-56f1-40b3-9170-59b58fe733b8,2025-01-15 14:57:28,completed,266.96,5.9,272.86,Especes,Grenoble
7b3b7356-f79e-42e4-9b44-ec9d3da8042b,4135c9a9-ccf6-496b-b99f-9915251fd710,2025-02-09 14:57:28,completed,84.91,7.9,92.81,PayPal,Strasbourg
4246c209-6c03-41dd-ac1c-71018f6fcd2d,05eff803-c549-4d56-8516-c005163bc6ce,2026-01-31 14:57:28,completed,330.71,0.0,330.71,Carte bancaire,Toulouse
f3df350d-fc1c-43a5-9dd9-b2109153acfe,06b3f60c-058d-4ac7-9101-e79f3902f86c,2024-11-21 14:57:28,cancelled,182.65,4.9,187.55,Carte bancaire,Lyon
60186999-60fe-46c9-bba0-af2cb814e0c1,497f97ec-a78b-4734-bc17-a0b06e2393d7,2025-06-17 14:57:28,cancelled,584.6,7.9,592.5,Virement,Toulouse
9e0ea702-b6f3-4aaa-9751-1e97338ca2ce,06b3f60c-058d-4ac7-9101-e79f3902f86c,2026-03-10 14:57:28,completed,387.0,4.9,391.9,PayPal,Nantes
a0850929-77a5-4113-ada7-d17b1fe4e57d,26d76a2e-483f-47fc-94d0-c67cbe6fbe50,2025-03-16 14:57:28,refunded,257.41,5.9,263.31,PayPal,Bordeaux
e039b416-faab-43f8-9be9-167b19e53f13,b40e1ed2-8f22-47ca-8f78-9b713576b1cf,2025-08-02 14:57:28,pending,234.45,0.0,234.45,Virement,Lille
0a136125-b25e-40b8-bac2-41cc0bf40beb,d6e7450f-1a0c-4db7-aa7a-8b88caca710a,2026-05-30 14:57:28,refunded,618.21,0.0,618.21,Virement,Marseille
f3f06fba-3c75-47d5-8909-30a36aa17f46,44f1d1c6-f801-458c-b73d-d35eb50bd817,2026-08-20 14:57:28,pending,247.23,7.9,255.13,Especes,Dijon
5aa9b36f-eb89-495a-9ddf-760b0418d80b,a9915adb-6584-4667-921b-163dc1cbc38a,2026-07-05 14:57:28,completed,173.56,5.9,179.46,Carte bancaire,Brest
0f0b2d32-e56a-4078-961e-1c293d60ebc4,8ba2c5c5-c4aa-454a-b383-fe1c7e018ebe,2026-01-26 14:57:28,pending,270.96,7.9,278.86,Carte bancaire,Paris
9d8ab248-16c8-4229-b660-86bee9a92c82,7045ade5-127f-43c2-ae13-ab92c7b8954b,2024-12-24 14:57:28,refunded,303.9,0.0,303.9,Carte bancaire,Montpellier
e8d23449-629e-4e6b-83e5-5594139794b5,d6e7450f-1a0c-4db7-aa7a-8b88caca710a,2025-10-10 14:57:28,cancelled,171.54,4.9,176.44,Especes,Angers
b4ad63b0-b8ad-44b7-a2d7-402058ab61cd,f39d97d1-91d5-4434-ac68-c135143d7576,2026-03-07 14:57:28,refunded,374.07,4.9,378.97,Virement,Lyon
e97d4021-300c-4bb1-95fc-5855a85c8bb6,44f1d1c6-f801-458c-b73d-d35eb50bd817,2026-01-08 14:57:28,cancelled,241.63,7.9,249.53,PayPal,Toulon
034a056f-a2aa-41fb-86da-cab96de6a399,701ae64e-b339-4f2a-b95a-52284dad2959,2025-10-11 14:57:28,refunded,60.11,5.9,66.01,Especes,Nice
db6b04d0-7832-4c16-963f-6608a4876a7b,c3305ee5-56f1-40b3-9170-59b58fe733b8,2025-05-13 14:57:28,pending,217.67,4.9,222.57,Virement,Nantes
6f5cf7a6-b512-43cf-890d-8b98d8179d92,38ca9deb-bac5-4e74-bd9c-ac77b082d942,2024-11-03 14:57:28,completed,79.8,0.0,79.8,Virement,Marseille
84907fcc-6004-43ac-b41e-18bf3cb68af7,bfd7a2cb-4652-433e-ada5-8330ade8d905,2026-03-14 14:57:28,completed,50.95,4.9,55.85,PayPal,Dijon
3e000ae7-9570-4131-a9d5-96e5f9c2d0d7,8dd12d50-9207-42a3-a704-2df973609509,2024-10-18 14:57:28,refunded,262.19,5.9,268.09,Carte bancaire,Angers
eb8b23be-5c79-474b-a607-aed75c3142f2,4135c9a9-ccf6-496b-b99f-9915251fd710,2025-01-13 14:57:28,completed,145.67,5.9,151.57,Carte bancaire,Dijon
408d2d04-cc0a-4c76-9b40-15ad7bc20249,ba53a5b2-7bf9-4b98-97d5-ccdbf53cb730,2024-11-04 14:57:28,completed,198.31,7.9,206.21,PayPal,Marseille
7bc59f7e-e01c-4a54-9b05-6097888229a9,f39d97d1-91d5-4434-ac68-c135143d7576,2024-10-30 14:57:28,pending,349.53,0.0,349.53,Carte bancaire,Rennes
18810be0-831b-4f59-a8b5-907ff5b6ff5c,a9915adb-6584-4667-921b-163dc1cbc38a,2025-04-03 14:57:28,completed,131.91,4.9,136.81,Carte bancaire,Dijon
c5934c71-6b99-4f9f-86a6-f2b85de7b3fb,535323df-0b30-4da7-92e4-66af1414bae3,2026-08-11 14:57:28,pending,336.79,0.0,336.79,PayPal,Brest
6e446825-b375-43d3-bf43-860e1013c378,8ba2c5c5-c4aa-454a-b383-fe1c7e018ebe,2024-10-08 14:57:28,cancelled,24.3,7.9,32.2,Virement,Toulon
ab04f116-dfee-403b-aa80-fe065c89cdbe,db09975f-c2ad-4ec8-ae35-a0cfa2c71e8c,2024-11-15 14:57:28,refunded,454.25,7.9,462.15,Carte bancaire,Brest
401958a4-f4b1-43c8-a3c7-0a05b07f359f,e9e5ffd4-9501-4029-bd6f-7b0120132eef,2025-03-18 14:57:28,pending,47.36,5.9,53.26,Carte bancaire,Nantes
619af922-bc47-49d9-a8e5-fcbdc56dbd02,497f97ec-a78b-4734-bc17-a0b06e2393d7,2026-05-04 14:57:28,pending,578.32,0.0,578.32,Carte bancaire,Dijon
b3254b0e-f058-4703-944a-0205d7166c72,fa19a288-b2db-4cae-89f1-32f430ba1376,2024-10-08 14:57:28,refunded,303.02,7.9,310.92,Carte bancaire,Marseille
4c92186c-8d27-46c9-b73d-0e0710766201,b18cdf2b-8dc4-422a-b47e-a9bba8a2d25e,2024-10-02 14:57:28,cancelled,210.2,0.0,210.2,PayPal,Toulouse
fe28e4d6-f004-40ab-a1f8-881c5f357012,37c360bb-7187-420d-9e1c-afa07104dc34,2026-06-17 14:57:28,completed,357.11,0.0,357.11,Especes,Toulouse
b0629da3-4ff8-457b-90a2-2de0f9a9f7f8,06b3f60c-058d-4ac7-9101-e79f3902f86c,2025-08-27 14:57:28,completed,423.47,4.9,428.37,PayPal,Toulon
f247604f-3050-49f2-84de-aea05e7dc8ff,db09975f-c2ad-4ec8-ae35-a0cfa2c71e8c,2026-08-05 14:57:28,completed,611.13,5.9,617.03,Especes,Lyon
efb02d04-cbe8-45ef-a40d-2ec79bc9c951,d2a147ec-87c2-48eb-9031-8a7b746b3a3b,2025-01-20 14:57:28,completed,254.54,7.9,262.44,Carte bancaire,Dijon
085df147-ab5b-4c07-819b-80757f3ebae6,f39d97d1-91d5-4434-ac68-c135143d7576,2025-04-25 14:57:28,cancelled,213.9,7.9,221.8,Especes,Angers
3feb1a2c-26e9-4033-896c-88c6b52719f3,fa19a288-b2db-4cae-89f1-32f430ba1376,2025-01-09 14:57:28,refunded,166.4,0.0,166.4,Cheque,Bordeaux
1dbc7b83-671a-4d71-b17c-0f8e1d44b718,6e0c17d2-b91a-4a68-b378-69d3e6cd2dce,2025-12-13 14:57:28,cancelled,307.64,4.9,312.54,Carte bancaire,Reims
3cfe87e8-3c3b-4ceb-b7b4-cb41586bf096,f1dda60f-4433-43e3-98b5-8d61ec559360,2026-04-27 14:57:28,cancelled,101.17,7.9,109.07,Especes,Montpellier
2376474d-c471-4482-99b9-a9db2cec0171,d152dce1-782a-4a8a-834a-06c7bc719bca,2026-04-24 14:57:28,completed,8.4,4.9,13.3,Carte bancaire,Toulon
1e917267-f500-4393-b938-ba6f1356761b,06b3f60c-058d-4ac7-9101-e79f3902f86c,2025-05-11 14:57:28,completed,302.29,0.0,302.29,PayPal,Montpellier
5904d542-ae29-4128-bdd4-e5c00c7529eb,05eff803-c549-4d56-8516-c005163bc6ce,2025-01-24 14:57:28,refunded,409.61,4.9,414.51,Cheque,Paris
46683aae-9bbb-4155-ae9f-c76ec066c605,8ba2c5c5-c4aa-454a-b383-fe1c7e018ebe,2026-02-13 14:57:28,pending,53.83,0.0,53.83,Virement,Strasbourg
a30e6d2c-aa03-4232-9042-ff17f9628f85,701ae64e-b339-4f2a-b95a-52284dad2959,2026-06-24 14:57:28,completed,213.5,5.9,219.4,PayPal,Lyon
9e65adce-3f27-4365-ad53-0de660765af9,fa19a288-b2db-4cae-89f1-32f430ba1376,2026-03-19 14:57:28,completed,60.2,0.0,60.2,Cheque,Paris
769ec201-2951-4690-b893-b46b19339aa0,497f97ec-a78b-4734-bc17-a0b06e2393d7,2025-09-21 14:57:28,cancelled,554.45,4.9,559.35,Cheque,Lyon
b08be6a8-8e70-4cce-bda8-51589f55f023,bfd7a2cb-4652-433e-ada5-8330ade8d905,2026-03-02 14:57:28,cancelled,113.23,7.9,121.13,Carte bancaire,Lille
c0184b14-9954-4ac5-82a5-8eb4566e3b01,06b3f60c-058d-4ac7-9101-e79f3902f86c,2025-03-11 14:57:28,refunded,386.59,5.9,392.49,Especes,Reims
a7ded795-9aca-4bad-9484-78f55f0994ce,679340af-3555-4642-b310-4aee6563f29a,2026-02-10 14:57:28,completed,261.76,0.0,261.76,Carte bancaire,Marseille
3617bd0a-06d2-4b93-aa94-ce388c7f6322,1f01f874-9675-4407-a020-2417c005632b,2026-06-21 14:57:28,refunded,504.12,0.0,504.12,Carte bancaire,Bordeaux
90ffeddd-8130-4a5e-b2ac-e5ca703274bc,f39d97d1-91d5-4434-ac68-c135143d7576,2025-11-05 14:57:28,completed,239.76,5.9,245.66,Carte bancaire,Grenoble
3f077b2c-6357-4b38-b7f0-6830aa2cd269,8c852709-a20e-4f99-805b-ca99a7a0c008,2026-04-12 14:57:28,pending,197.69,0.0,197.69,Carte bancaire,Grenoble
2e4f803c-5bbe-4fb8-86ca-94f70a999d35,4135c9a9-ccf6-496b-b99f-9915251fd710,2026-08-30 14:57:28,pending,186.75,7.9,194.65,Virement,Dijon
42563c31-fdf7-45d4-8bb3-b039b19254ab,e9e5ffd4-9501-4029-bd6f-7b0120132eef,2024-12-04 14:57:28,completed,303.85,0.0,303.85,Carte bancaire,Strasbourg
bd928546-e12c-45cb-9e35-bdac639e0585,6eed4190-d85c-4e69-baab-31e33c300e6a,2025-06-07 14:57:28,cancelled,523.02,7.9,530.92,Carte bancaire,Paris
3b3d12e2-2183-44a7-a4a7-e5f086f1b226,eb66331b-ef7d-4751-8677-1cf70a286fc7,2025-08-18 14:57:28,completed,346.94,0.0,346.94,Carte bancaire,Lille
457bdada-7955-40c4-94bf-52aa0b05f07a,d6e7450f-1a0c-4db7-aa7a-8b88caca710a,2026-05-15 14:57:28,completed,350.51,4.9,355.41,Carte bancaire,Dijon
bb2d0f00-84e7-4b54-9410-8ed64b39579b,b6d4201e-d306-4f1b-b5e5-93a85e72148a,2025-09-20 14:57:28,completed,284.8,7.9,292.7,Cheque,Toulouse
910c7762-08b8-4bf5-9c45-34f7dc92ac30,b18cdf2b-8dc4-422a-b47e-a9bba8a2d25e,2025-10-08 14:57:28,pending,125.15,7.9,133.05,Especes,Angers
962329d7-8d29-4fca-a1d8-0cab1287587a,fb86f54e-92d4-4290-99a0-92a205d96f7e,2025-05-04 14:57:28,completed,163.4,5.9,169.3,Carte bancaire,Rennes
c95d9481-7e0a-412e-806a-ba373fbda7d2,c83988fd-ab37-4415-86c9-3a7a0bf5ec8b,2026-07-02 14:57:28,pending,273.86,7.9,281.76,Carte bancaire,Rennes
aeb639e5-5f44-4ae9-a34e-d85d0a54ece0,2b463265-6498-4585-a990-27d8116f1a9f,2024-09-18 14:57:28,completed,165.25,5.9,171.15,Carte bancaire,Nice
d0357423-0d47-4660-86da-03f9cdb66312,7b37d780-3426-45d3-9dd4-526b8ff239e2,2024-12-20 14:57:28,completed,179.4,4.9,184.3,Carte bancaire,Brest
b593c7fb-6226-435f-abd6-dea5cf8b4842,7045ade5-127f-43c2-ae13-ab92c7b8954b,2025-04-15 14:57:28,refunded,295.42,5.9,301.32,Virement,Lyon
1e44769c-3f35-45f8-95e6-51adefd6efce,535323df-0b30-4da7-92e4-66af1414bae3,2026-01-24 14:57:28,cancelled,679.9,7.9,687.8,Carte bancaire,Nice
da741c3c-3fdd-4530-a2f6-9e26a226429b,26d76a2e-483f-47fc-94d0-c67cbe6fbe50,2025-09-23 14:57:28,pending,136.05,5.9,141.95,Virement,Montpellier
bdc01847-9154-4f2c-8777-4921c4f8d620,e9e5ffd4-9501-4029-bd6f-7b0120132eef,2025-09-18 14:57:28,refunded,649.9,5.9,655.8,Cheque,Nice
3c85d320-c2f1-4f08-8052-d36bf1b337c7,6eed4190-d85c-4e69-baab-31e33c300e6a,2025-12-24 14:57:28,cancelled,28.8,7.9,36.7,Especes,Toulon
f0c79bf9-a937-4beb-b3b2-46df2d9b7895,a9915adb-6584-4667-921b-163dc1cbc38a,2025-12-09 14:57:28,refunded,275.4,0.0,275.4,Carte bancaire,Toulouse
fe3f0735-2bc9-42e7-a758-1a0bbefe3198,7b37d780-3426-45d3-9dd4-526b8ff239e2,2024-11-05 14:57:28,refunded,16.91,7.9,24.81,Carte bancaire,Bordeaux
6eff6769-546d-4720-83f8-d9462a3b4fd5,aceda84f-093e-46dc-bf40-55dca43e6d39,2025-10-19 14:57:28,completed,100.4,7.9,108.3,PayPal,Paris
19912646-496a-47e8-8a06-818e5c9c2a96,fb86f54e-92d4-4290-99a0-92a205d96f7e,2026-06-06 14:57:28,pending,228.0,0.0,228.0,Carte bancaire,Montpellier
36181837-8f64-45f8-a6ae-46def96a7aef,8d4fd95f-8f7c-4561-aadd-f9dfa5aaccec,2026-03-26 14:57:28,completed,302.03,7.9,309.93,Carte bancaire,Reims
9fc449f2-728c-4686-a8d7-a33021d0838f,1f01f874-9675-4407-a020-2417c005632b,2024-11-05 14:57:28,completed,565.5,0.0,565.5,PayPal,Bordeaux
c4425f30-09f6-43cc-8a8c-3c8964d5db3b,2b463265-6498-4585-a990-27d8116f1a9f,2025-07-03 14:57:28,completed,529.74,4.9,534.64,Carte bancaire,Rennes
e0e0d137-6217-4f3e-9d8e-64f3814176ca,37c360bb-7187-420d-9e1c-afa07104dc34,2025-02-03 14:57:28,cancelled,123.37,4.9,128.27,Carte bancaire,Bordeaux
7c7f0f45-45b2-4d16-90a6-77b8c00c1979,497f97ec-a78b-4734-bc17-a0b06e2393d7,2025-11-19 14:57:28,cancelled,330.47,4.9,335.37,Cheque,Bordeaux
0a6ba66c-01e9-4c9e-86cf-8beeea721448,6e0c17d2-b91a-4a68-b378-69d3e6cd2dce,2026-08-11 14:57:28,cancelled,7.14,5.9,13.04,Carte bancaire,Reims
2ccfe5cb-c535-44dc-9909-b1394da9a224,f1dda60f-4433-43e3-98b5-8d61ec559360,2024-12-02 14:57:28,pending,135.3,0.0,135.3,PayPal,Toulouse
9c21feaa-775a-411a-81af-6f5ac0bf98cc,fd09359f-39dd-4352-8cbc-e701684a770a,2025-10-04 14:57:28,completed,318.3,4.9,323.2,Carte bancaire,Marseille
1387610e-65b4-4c5c-9796-593dbcc03601,7ae88512-b564-42d6-bd63-9e71e4482b22,2026-06-05 14:57:28,completed,244.37,7.9,252.27,PayPal,Brest
d02fc1d7-3312-4211-af7b-49cf472e8cdc,bfd7a2cb-4652-433e-ada5-8330ade8d905,2026-01-30 14:57:28,completed,151.23,5.9,157.13,Carte bancaire,Lyon
48e215a3-22ce-48df-b724-f2ae13c6ab9e,497f97ec-a78b-4734-bc17-a0b06e2393d7,2024-12-07 14:57:28,completed,5.52,0.0,5.52,PayPal,Bordeaux
e9a31c3a-6789-4f35-b4c4-09041c18c662,ba53a5b2-7bf9-4b98-97d5-ccdbf53cb730,2026-06-02 14:57:28,pending,268.51,0.0,268.51,Carte bancaire,Toulouse
d4005b6f-e379-4163-9fdf-d5c307021857,8dd12d50-9207-42a3-a704-2df973609509,2024-12-31 14:57:28,pending,285.34,4.9,290.24,Carte bancaire,Toulouse
5d1474b2-01f2-4daa-92ae-006cf6db2896,f1dda60f-4433-43e3-98b5-8d61ec559360,2024-10-14 14:57:28,refunded,89.8,0.0,89.8,PayPal,Strasbourg
59c2b2d2-0d97-4b6c-9197-5358ad136fb5,91b72496-ffa3-4042-a17d-e267158ca8cd,2026-02-02 14:57:28,cancelled,215.73,5.9,221.63,Carte bancaire,Rennes
e35fd6ca-b407-49f5-afe8-0cc8ae88174b,a9915adb-6584-4667-921b-163dc1cbc38a,2026-01-06 14:57:28,cancelled,214.47,5.9,220.37,Carte bancaire,Strasbourg
f27a05e8-306a-4807-a0be-5383a8d06355,ba53a5b2-7bf9-4b98-97d5-ccdbf53cb730,2026-05-10 14:57:28,completed,284.41,0.0,284.41,Especes,Montpellier
8117f899-7557-4637-b973-c6d3e322487e,164ef820-2f2c-4218-a157-55299cd2439a,2026-07-24 14:57:28,refunded,57.0,0.0,57.0,Cheque,Dijon
6bff1419-e644-49d3-8ed5-0eb20b238129,a9915adb-6584-4667-921b-163dc1cbc38a,2026-04-14 14:57:28,refunded,77.86,0.0,77.86,Carte bancaire,Strasbourg
e52f52a3-2003-4e1d-bab2-6ecc7e967d4d,535323df-0b30-4da7-92e4-66af1414bae3,2025-01-24 14:57:28,completed,250.98,7.9,258.88,Especes,Strasbourg
3032eb06-cf60-43d4-ad5d-1da254c346e3,db09975f-c2ad-4ec8-ae35-a0cfa2c71e8c,2025-03-06 14:57:28,completed,449.07,5.9,454.97,Carte bancaire,Rennes
d98ba6b4-f10a-4660-a3da-878a1c97de62,b18cdf2b-8dc4-422a-b47e-a9bba8a2d25e,2026-01-16 14:57:28,completed,394.79,5.9,400.69,Virement,Angers
4d10d5ef-0c14-48b9-ad18-fa5d2d0e3845,a9915adb-6584-4667-921b-163dc1cbc38a,2026-08-29 14:57:28,refunded,306.43,7.9,314.33,Virement,Rennes
a0bb0451-5376-414e-9b57-9fa0e3d2bd11,eb66331b-ef7d-4751-8677-1cf70a286fc7,2026-05-17 14:57:28,completed,381.89,7.9,389.79,Cheque,Rennes
41a81c78-ee96-49fa-867a-bcb784b97b18,8c852709-a20e-4f99-805b-ca99a7a0c008,2025-05-20 14:57:28,cancelled,301.83,5.9,307.73,Carte bancaire,Brest
0ebc6169-48db-4077-ae69-4b7ebed4fc83,ba53a5b2-7bf9-4b98-97d5-ccdbf53cb730,2025-07-02 14:57:28,completed,141.96,5.9,147.86,Carte bancaire,Bordeaux
ea7778de-ecac-4c6d-8cd7-783c418576f3,8ba2c5c5-c4aa-454a-b383-fe1c7e018ebe,2025-08-07 14:57:28,completed,331.39,7.9,339.29,Carte bancaire,Toulouse
a7b01665-56e2-4f1e-8110-6401d336a868,eb66331b-ef7d-4751-8677-1cf70a286fc7,2025-01-26 14:57:28,completed,216.27,0.0,216.27,Especes,Lille
8c4630dd-f5c1-4530-90d8-f975404574a7,c83988fd-ab37-4415-86c9-3a7a0bf5ec8b,2026-04-16 14:57:28,cancelled,89.8,5.9,95.7,Virement,Toulouse
b58b7af5-281b-4d68-909c-85e7dc431d76,d6e7450f-1a0c-4db7-aa7a-8b88caca710a,2026-08-03 14:57:28,pending,299.69,0.0,299.69,Carte bancaire,Strasbourg
985449f8-5bec-4b1e-940f-8f4ed59e6dbd,164ef820-2f2c-4218-a157-55299cd2439a,2025-09-23 14:57:28,refunded,92.84,5.9,98.74,Especes,Toulouse
9db80937-1e63-48af-995c-0d071341318e,d152dce1-782a-4a8a-834a-06c7bc719bca,2025-04-14 14:57:28,completed,129.06,7.9,136.96,Carte bancaire,Lyon
2cc87e5c-90d9-48d6-a015-6bfe7c997a90,7ae88512-b564-42d6-bd63-9e71e4482b22,2025-04-27 14:57:28,completed,333.22,0.0,333.22,Especes,Strasbourg
610f48e5-481d-41c9-81d3-6a424368672d,91b72496-ffa3-4042-a17d-e267158ca8cd,2024-09-28 14:57:28,completed,367.1,7.9,375.0,Especes,Reims
